;"LECHE Y DERIVADOS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;"lechuga romana";"hojas tiernas";55;13;94,8;1,1;0,1;2,3;1;0,7;30;30;1,6;290;29;0,1;0,07;0,3;6;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
157;"pepino";"de rellenar";90;13;95,3;0,6;0,1;2,6;0,7;0,7;11;32;0,6;30;3;0,04;0,05;0,2;5;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
159;"aceitunas";"encurtido";100;128;75,8;1,2;13,6;3,1;1,7;4,6;36;5;1,7;291;29;0,03;0,01;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
160;"rabano rojo";"con cáscara";90;15;94,7;0,8;0,1;3;0,7;0,7;32;24;0,8;0;0;0,03;0,03;0,3;20;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
163;"brócoli";;40;30;88,9;4;0,3;3,7;1,9;1,2;106;137;1,1;750;75;0,07;0,14;0,9;100;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
164;"berenjena";"fruto sin cáscar";75;19;92,6;1;0;3,9;2;0,5;17;29;0,4;0;0;0,08;0,05;1;5;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
165;"apio";"tallos sin hojas";50;20;92,8;0,7;0,1;4,3;0,9;1,2;70;33;0,6;0;0;0,03;0,06;0,3;4;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
166;"calabaza";"fruto sin cáscar";90;20;93,9;0,8;0;4,5;0,4;0,4;13;29;0,3;0;0;0,03;0,03;0,3;16;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
167;"alcaparras";"encurtido";100;27;78,6;2,3;0,6;4,6;1,2;12,7;66;8;4,2;11;1;0,04;0,15;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
"Anexo 1";"aceitunas";;;296;41;2,2;22,4;28,8;1,5;4,1;67;63;7,4;0;0;0,03;0,24;1;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
168;"repollo-hojas blanca";"hojas tiernas";70;26;91,8;1,4;0,4;4,6;1;0,8;35;26;1;20;2;0,05;0,04;0,4;40;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
170;"coliflor";;80;29;89,7;3;0,1;4,8;1,4;1;44;70;0,7;20;2;0,12;0,08;0,7;30;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
171;"pimiento morrón verde";"fruto sin semillas";80;23;93,7;0,9;0,1;4,9;1;0,4;8;24;0,6;200;20;0,04;0,04;0,7;150;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0;0;0,00;0,00;0,0;0;
